id,tenant_id,branch_id,customer_id,register_id,type,status,payment_method,subtotal,delivery_fee,tips,total,delivery_address,notes,created_at,updated_at,tracking_token,delivery_pin
a1000001-0000-4000-8000-000000000005,a0000000-0000-4000-8000-000000000001,b0000000-0000-4000-8000-000000000001,d1000000-0000-4000-8000-000000000001,,pickup,delivered,nequi,32000.0,0.0,4000.0,36000.0,,,2026-06-18 21:23:34.010965+00:00,2026-06-19T02:23:34.010965+00:00,b89bd023-61dd-4868-8c7a-16a41b9fbaa9,
2f8de799-fa67-4e48-9831-edf13ecc1183,a0000000-0000-4000-8000-000000000001,b0000000-0000-4000-8000-000000000001,6b1b2e88-a670-4841-be37-f7c07ad8f669,,delivery,delivered,cash,32000.0,5000.0,0.0,37000.0,19  # 18-44,,2026-06-19 03:36:45.691087+00:00,2026-06-19T22:48:59.624+00:00,5c9a8989-5927-4048-861a-74ac21a13dcd,
7767891c-b482-40b8-a835-81bc1c1a5448,a0000000-0000-4000-8000-000000000001,b0000000-0000-4000-8000-000000000001,6b1b2e88-a670-4841-be37-f7c07ad8f669,,delivery,pending,nequi,42000.0,5000.0,0.0,47000.0,19,,2026-06-19 03:41:50.829187+00:00,2026-06-19T03:41:50.829187+00:00,f9fcfd40-81be-4d2b-b735-a5c0a22e9b92,
8c58bae7-08e5-4ed6-857a-d8d9deb70f01,a0000000-0000-4000-8000-000000000001,b0000000-0000-4000-8000-000000000001,6b1b2e88-a670-4841-be37-f7c07ad8f669,,delivery,ready,cash,40000.0,0.0,0.0,40000.0,CRA 19 #18-44,[ID: T-EGDG] [Cliente: GOKU] | [EFECTIVO] Devuelta: $10.000,2026-06-20 20:02:37.303000+00:00,2026-07-10T02:07:36.096+00:00,85310681-a8a3-43e7-804f-c447deff981e,
a1000001-0000-4000-8000-000000000002,a0000000-0000-4000-8000-000000000001,b0000000-0000-4000-8000-000000000001,d1000000-0000-4000-8000-000000000002,,pickup,delivered,wompi,42000.0,0.0,2000.0,44000.0,,,2026-06-19 00:53:34.010965+00:00,2026-06-19T22:49:01.268+00:00,844ab716-9303-401d-97db-ac98df7d7680,
a1000001-0000-4000-8000-000000000004,a0000000-0000-4000-8000-000000000001,b0000000-0000-4000-8000-000000000001,d1000000-0000-4000-8000-000000000002,,delivery,delivered,daviplata,42000.0,5000.0,5000.0,52000.0,"Carrera 43A #1-50, El Poblado",,2026-06-19 01:53:34.010965+00:00,2026-06-19T22:49:02.784+00:00,d1aa3e3d-3ae8-4e42-94f8-cc0c51b1f281,
8a153aae-4613-4220-a2f5-d7f57e11defc,a0000000-0000-4000-8000-000000000001,b0000000-0000-4000-8000-000000000001,6b1b2e88-a670-4841-be37-f7c07ad8f669,,delivery,pending,nequi,9500.0,5000.0,0.0,14500.0,CRA 19 18#44,,2026-06-19 04:00:01.343459+00:00,2026-06-19T04:00:01.343459+00:00,bcfedbfa-5850-4338-95c7-4ba3fe23744a,
a6ef983b-c5d1-4132-8e83-0bbfc8e8fc35,a0000000-0000-4000-8000-000000000001,b0000000-0000-4000-8000-000000000001,d1000000-0000-4000-8000-000000000001,,delivery,ready,cash,100000.0,0.0,0.0,100000.0,CRA 19 #18-44,[Cliente: GOKU] | [EFECTIVO] Devuelta: $0,2026-06-20 05:28:22.544000+00:00,2026-07-10T02:07:38.701+00:00,5fc38a88-7e16-4715-aa55-9670148bc98f,
bd1ec453-6d2c-4f4e-9734-76ab096984ac,a0000000-0000-4000-8000-000000000001,b0000000-0000-4000-8000-000000000001,830408d1-c4cf-4547-abf9-f6bf6977c2f8,,delivery,delivered,cash,29500.0,5000.0,0.0,34500.0,CRA 19#18-44,[ID: T-TAAP],2026-06-21 03:38:51.284239+00:00,2026-06-21T05:00:18.424+00:00,11e0aa67-3327-4e9d-8853-9b98ba7d380b,
1c0924b1-229c-4c16-b52b-4af071573541,a0000000-0000-4000-8000-000000000001,b0000000-0000-4000-8000-000000000001,6b1b2e88-a670-4841-be37-f7c07ad8f669,,delivery,delivered,nequi,20000.0,5000.0,0.0,25000.0,CRA 19 #18-44,,2026-06-19 22:31:02.301289+00:00,2026-06-19T22:49:04.54+00:00,b0ec74cd-b53d-4e4d-a5ac-fdf6294363c9,
d906d50a-5602-4efd-bf52-636f05cb47dc,a0000000-0000-4000-8000-000000000001,b0000000-0000-4000-8000-000000000001,6b1b2e88-a670-4841-be37-f7c07ad8f669,,delivery,delivered,cash,32000.0,5000.0,0.0,37000.0,CRA 19 #18-44,,2026-06-19 19:14:47.321880+00:00,2026-06-19T19:20:10.258+00:00,7adf3b3e-ffcb-4f72-baff-b2f4260a40bd,
aff3e0a1-8fba-4802-8046-fb377424d813,a0000000-0000-4000-8000-000000000001,b0000000-0000-4000-8000-000000000001,830408d1-c4cf-4547-abf9-f6bf6977c2f8,,delivery,delivered,transfer,59000.0,5000.0,0.0,78000.0,"Carrera, PUERTO TEJADA",[ID: T-0TNY] [Cliente: Lina] [TRANSFERENCIA] [COMPROBANTE: https://jeuvobmjhuyskxepdbmt.supabase.co/storage/v1/object/public/receipts/1748430946/AgACAgEAAxkBAAIDwmo3cfEex0oaoqLbsRromZUjKB2YAAKlC2sb9-vARYX387jGm_ADAQADAgADeQADPAQ.jpg] | [TRANSFERENCIA] Pendiente de validación |,2026-06-21 05:09:17.395000+00:00,2026-06-21T05:13:34.143+00:00,05968fd5-58f4-4076-b97b-835d5499c03b,
fbf28ac4-897e-4127-80a2-6af6b1675781,a0000000-0000-4000-8000-000000000001,b0000000-0000-4000-8000-000000000001,6b1b2e88-a670-4841-be37-f7c07ad8f669,,delivery,ready,cash,168000.0,0.0,0.0,168000.0,La misma dirección,[ID: T-78SQ] [Cliente: GOKU] | [EFECTIVO] Devuelta: $32.000,2026-06-20 06:52:22.214000+00:00,2026-07-10T02:07:40.44+00:00,3d18cdd8-70dd-4d32-bfc6-b44f6ec1479d,
